,movie title,movie rating(%),movie poster link
0,Mamamoo: My Con the Movie,N/A,https://resizing.flixster.com/YTn4qPL3CiDwcxRH8rxDqlfTclE=/206x305/v2/https://flxt.tmsimg.com/assets/p25163456_p_v8_aa.jpg
1,Hunting for the Hag,N/A,https://resizing.flixster.com/USbgRY3-HTKv7HtatoxhT0ZEyEQ=/206x305/v2/https://resizing.flixster.com/wI8yfUaicRJNrY0dsqkt07SyPmQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdhN2YyN2VmLTYwODItNGEyYy04Y2NmLTg4NGY0YjRiNDIxMy5qcGc=
2,Underdog,N/A,https://resizing.flixster.com/FjvqSRYBTuCNjsgJu3Fh0dyCVr0=/206x305/v2/https://resizing.flixster.com/Yg46FMW3vK_da__w-81a593dPyg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhmOWY3ZmUwLWFhYzMtNDNlYS05OWVhLTA2M2NiYzZhYWIxYy5qcGc=
3,Jailer,N/A,https://resizing.flixster.com/Qc0Noi_r3LNMp7it8QJ4kgoLfVY=/206x305/v2/https://resizing.flixster.com/uV5WHlEIeBOO2TAIEA1cCI9_gCA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQxZTk1NWZhLWEwMzEtNDgzMi1hM2Y0LWQ5YWQ2OTliZGEyNC5qcGc=
4,Bholaa Shankar,N/A,https://resizing.flixster.com/4SkuyOj6mt2_b8VFM2FzUUfDy94=/206x305/v2/https://resizing.flixster.com/yPHBd5prMWraVZA5JzZoi_SMqm0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdlYjI3N2U1LTAyMGMtNDA0Zi05NTRhLWMxZTAwZWEyNzk4Ni5qcGc=
5,"Drum Corps International: Big, Loud & Live 18",N/A,https://resizing.flixster.com/UogtzfRKJLSU8BPYF4YGYBsXOXE=/206x305/v2/https://resizing.flixster.com/MG6rmAqm9BQtU7Et9fNzgz0jbk8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzI5MjlhOWQ5LTAzYjYtNGY0MS1iM2ViLTY1YjIxMWJkN2I2YS5qcGc=
6,Gran Turismo: Based on a True Story,55,https://resizing.flixster.com/zdZIz2UhlOFFv6mI-ihcRxrZeo8=/206x305/v2/https://resizing.flixster.com/vh4hku_jZ4dVNC3Sdhtzt9pFlxs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzViN2RhN2I5LWIwNWEtNDIyZi04YTdiLWQyZjk4YTAzZGRiMy5qcGc=
7,The Last Voyage of the Demeter,45,https://resizing.flixster.com/Oc56LqCAYKycjb6KtNzQbNPPjH4=/206x305/v2/https://resizing.flixster.com/issYI5i4PJWacJxDqyg7Cz9Fb9o=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QwMmIyOGU3LWVjYzMtNDIxNC04NmU2LTk2YzM5ZTE0ODZkNy5qcGc=
8,Jules,86,https://resizing.flixster.com/50odhL1DsaRg454wOjjcUPJYrlQ=/206x305/v2/https://resizing.flixster.com/pMyaMZVQc9cBmEtEMgezuvoHS3U=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzkzM2JkZThlLWVhNTUtNGY3My05NzI4LTgxYjlhZDdkYjIwZi5qcGc=
9,Heart of Stone,N/A,https://resizing.flixster.com/coBKy8c3pcqZnl2KovgPEb_iUw8=/206x305/v2/https://resizing.flixster.com/FjdIyBD0vVQaU3nEp5WF-F-cfy4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzUwNWU0Zjg4LTE3NWUtNGVhMi05ZmVkLTY3OWZkYjMyODM0Mi5qcGc=
10,Medusa Deluxe,79,https://resizing.flixster.com/sAUKnLbJKr1D37N6qvDUKoKjiWQ=/206x305/v2/https://resizing.flixster.com/JWZCtMbIrqDQcQ92nWM88E3gbQI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY1NWYzOGNmLWRkN2YtNDJkOS1hYTM1LTI0YzdhYjVhODdkMi5qcGc=
11,King on Screen,91,https://resizing.flixster.com/hOBVLT5Qy-6I9-yfzY84kzbPWVE=/206x305/v2/https://resizing.flixster.com/S1zAUxUGYqntFMkZn55W83MtYN0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ3MjlmNjczLWZjYjctNDMzYy1hNTYyLWJhZjUwYTQwZmFhOC5qcGc=
12,Aporia,90,https://resizing.flixster.com/6XYNVgsUA8-j7DezRJIp8VeLtTo=/206x305/v2/https://resizing.flixster.com/5IIcLUlcYu1UW3yttuuMyLb9U_Y=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JhNTg0OTVkLTc5YmEtNGU4Zi05NWRjLTVhMTdkYmNjZDM5YS5qcGc=
13,Operation Napoleon,N/A,https://resizing.flixster.com/-4wlIKwYmNMMV1qNAtKKOpCdOeA=/206x305/v2/https://resizing.flixster.com/yAqRM2Kt3hy5MrX2NW4nrzqBYGc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2MwYWQxMDkzLWI2NGEtNDc4Yi04MWJlLTA4Y2Q1MjU0NGQ3Zi5qcGc=
14,The Pod Generation,41,https://resizing.flixster.com/1_TTEevf0e0x6fysQI_qO_9E3hk=/206x305/v2/https://resizing.flixster.com/7hn0ql6vgJldJIWIXUGkSRg15QI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzI0NWU2Y2VmLTU3ZjItNDJiMi1hMjNlLWU0NzQwMDMxOWJlOC5qcGc=
15,Go West,N/A,https://resizing.flixster.com/BQW8Zi9-Ask1B0XnRYdXPVhZbWg=/206x305/v2/https://resizing.flixster.com/ycrE2mmjBSdVsHviWonGSmTmYtA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2IyYWI0OGFkLWY5ZmEtNDlhYy04MGRmLTA2N2VjNTg5YTllMi5qcGc=
16,Inside Man,N/A,https://resizing.flixster.com/Geqwsa6et6_6taxwdFmiiSAW_WQ=/206x305/v2/https://flxt.tmsimg.com/assets/p25220342_p_v13_aa.jpg
17,King Coal,87,https://resizing.flixster.com/JBGr8yLbd8tCEB8m9WCJ5iqt484=/206x305/v2/https://resizing.flixster.com/yrLUbf7FjuuvhaL2xg_Damtjf14=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2IwOWIxZTM3LWRhZGQtNDBhOC05OWYzLWQ2NDI0NjYwYzc4Ni5qcGc=
18,Between Two Worlds,79,https://resizing.flixster.com/v7gElj2HUea7th4c5Y-FxkCs0u4=/206x305/v2/https://resizing.flixster.com/a6z4uLN943KptE4fEBK0H8SRlCI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdlZDNmNWZlLWY2NzctNDU5My04OGY5LWY1MDdmZTFmZTM2Yy5qcGc=
19,Match Me If You Can,N/A,https://resizing.flixster.com/HdiwYx8DsL7t2aOInamwmrcw8BQ=/206x305/v2/https://resizing.flixster.com/83L25KCOIC62GtUrUZu2ZoR6X34=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzNhYTRlYjJhLTg4ZTUtNGE3YS05N2ExLTBlYTQ4NjNiZDgzZC5qcGc=
20,Gadar 2,N/A,https://resizing.flixster.com/XqTzG7T9YFA5XzWmwsuMd2qnd8M=/206x305/v2/https://resizing.flixster.com/oD1KxIuZgREnZaUulJPdWlRQb3U=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzI0YjYxOGVhLTRhZGMtNDAxMC1iOTg4LTVlMmQ0MTNlZGFmZS5qcGc=
21,3 Days in Malay,N/A,https://resizing.flixster.com/U9LiKrrCq0uPkhjG3SOeGt22eFs=/206x305/v2/https://resizing.flixster.com/rsagE9Une3ABM6lLFr5HxK9g9Iw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2MwZDgzNWYxLWZjNGItNDg1ZC1iYTkwLTk4MjQxODgwZjNlYS5qcGc=
22,The Monkey King,N/A,https://resizing.flixster.com/AChQXQysYLhj9EQsaiC4PnAwIsw=/206x305/v2/https://resizing.flixster.com/6eh6B5OkYzbBp3RPy1_sR0_JcO8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzcyY2MxYzhiLTRkZTctNDgyYy04YTZiLWQ4ZTJkZDFjNDUyNS5qcGc=
23,Aurora's Sunrise,100,https://resizing.flixster.com/83esgniNVI1sHSQaz1_3zqXPTBc=/206x305/v2/https://resizing.flixster.com/oFG2XlZH38jtqRjMiM4FbNggaCs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzE4Y2NlODE0LTJkMTctNDkzNi1hMzViLTRjOTEyMjJiYzlkNy5qcGc=
24,The Eternal Memory,93,https://resizing.flixster.com/B6Wcp8lPtFsIdNrmNspmw5mOO-4=/206x305/v2/https://resizing.flixster.com/-YlXxxCDoN2pLf9DJlJO3PxovlQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2YxYzliMWY4LTAxNTAtNGY2YS1hOTk5LTE3NDg3NjZjYmY2OC5qcGc=
25,Senior Year: Love Never Fails,N/A,https://resizing.flixster.com/HDkOGx71Y_kA8RMim4muqbor-Lg=/206x305/v2/https://resizing.flixster.com/1ZqrZwTnGIT1GihVOpRVhXn_zvA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NmNmY0Njk0LWVmNDQtNDU0ZS05YTczLTY1MmUxN2MxMjM0OC5qcGc=
26,OMG 2,N/A,https://resizing.flixster.com/3hdJ7SKHmQSomYnK1Fkz-aGBzbc=/206x305/v2/https://resizing.flixster.com/_hq5LsOu3Ka95b_BOf1sN5w2HeI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU2MmY0YmY2LWY0MjAtNDhiNi04YmZjLWM4ODllNTUwMTQ4Yi5qcGc=
27,CHAAW: Chapter 1,N/A,https://resizing.flixster.com/nxQmMscDH1vValuGveXfhh_-V2g=/206x305/v2/https://resizing.flixster.com/Pq_RXt8wmtug4uX93GYN2L6jyfI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2IwYTJkZTc1LWVmNmQtNGZkNi05NDFhLTA0YmU5NDBkNThiYy5qcGc=
